Country,EdLevel,YearsCodePro,Employment,Salary
United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,Employed full-time,116000.0
United Kingdom,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,Employed full-time,32315.0
United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,Employed full-time,40070.0
Spain,Some college/university study without earning a degree,7,Employed full-time,14268.0
Netherlands,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20,Employed full-time,38916.0
United States,"Associate degree (A.A., A.S., etc.)",1,Employed full-time,66000.0
United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23,"Independent contractor, freelancer, or self-employed",108576.0
United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,Employed full-time,79000.0
United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,Employed full-time,1260000.0
United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,Employed full-time,83400.0
Germany,"Professional degree (JD, MD, etc.)",20,Employed full-time,91883.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,Employed full-time,71093.0
United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,Employed full-time,38778.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,Employed full-time,31764.0
Belgium,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,Employed full-time,63564.0
United Kingdom,Some college/university study without earning a degree,3,Employed full-time,77556.0
Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,Employed full-time,97288.0
United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,Employed full-time,106000.0
United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,Employed full-time,130000.0
United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29,Employed full-time,135000.0
Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,Employed full-time,55893.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,Employed full-time,36753.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,Employed full-time,37834.0
United Kingdom,"Other doctoral degree (Ph.D., Ed.D., etc.)",28,Employed full-time,74970.0
United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,Employed full-time,125000.0
United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,Employed full-time,52000.0
Canada,Some college/university study without earning a degree,7,Employed full-time,103615.0
United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,Employed full-time,90482.0
United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23,Employed full-time,160000.0
United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,Employed full-time,1620000.0
Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,Employed full-time,16488.0
United Kingdom,Some college/university study without earning a degree,13,Employed full-time,94359.0
United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,Employed full-time,1176000.0
United States,"Professional degree (JD, MD, etc.)",15,Employed full-time,250000.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,Employed full-time,594539.0
United Kingdom,,6,Employed full-time,23913.0
United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,"Independent contractor, freelancer, or self-employed",124092.0
Canada,,7,Employed full-time,37816.0
United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,Employed full-time,94500.0
United States,"Associate degree (A.A., A.S., etc.)",25,Employed full-time,117000.0
